date,hour,avg_speed,points
2024-06-04,20,12.047555239553708,36568
2024-06-04,21,12.37123052638803,72855
2024-06-04,22,10.488713530007628,79963
2024-06-04,23,8.478054260662956,77441
2024-06-05,0,7.5527639557332025,73554
2024-06-05,1,6.084279272274919,70741
2024-06-05,2,5.774141843971631,70500
2024-06-05,3,5.652185687205143,70161
2024-06-05,4,7.827789057936751,71906
2024-06-05,5,11.32943406090707,76510
2024-06-05,6,12.589921271269455,82689
2024-06-05,7,11.090837229261242,88554
2024-06-05,8,12.291475610288659,91596
2024-06-05,9,14.193013166090337,93118
2024-06-05,10,14.714600701371245,95242
2024-06-05,11,15.189354858921075,95762
2024-06-05,12,15.514589712980744,96335
2024-06-05,13,15.21686596391817,96004
2024-06-05,14,15.272407101272192,83478
2024-06-05,15,14.773622769130471,98168
2024-06-05,16,14.482585503608409,98797
2024-06-05,17,12.715232730748115,98354
2024-06-05,18,13.053889365928347,96661
2024-06-05,19,13.564349467353402,93777
2024-06-05,20,14.071667782987275,89580
2024-06-05,21,13.005965337506325,84991
2024-06-05,22,11.306026248542437,80614
2024-06-05,23,9.459341816360858,77881
2024-06-06,0,8.141432911941838,73724
2024-06-06,1,6.642318447589187,70806
2024-06-06,2,6.117000381522983,70769
2024-06-06,3,5.76004496044619,70284
2024-06-06,4,7.919230662330804,71958
2024-06-06,5,11.123989849697443,76845
2024-06-06,6,12.676127699936366,83289
2024-06-06,7,11.635618897991247,89110
2024-06-06,8,12.979666154231948,91719
2024-06-06,9,13.90700297564696,93089
2024-06-06,10,14.575022925867756,94871
2024-06-06,11,14.820999089453357,95547
2024-06-06,12,15.03923489862928,95935
2024-06-06,13,15.220313597487914,96812
2024-06-06,14,15.633894328845368,98040
2024-06-06,15,15.280755182775682,98837
2024-06-06,16,14.217207291328354,98528
2024-06-06,17,13.126609923866674,97986
2024-06-06,18,13.175146994660405,96262
2024-06-06,19,13.822459478657683,92914
2024-06-06,20,14.26836275956869,88753
2024-06-06,21,13.079827983268318,85108
2024-06-06,22,11.387826837691168,81080
2024-06-06,23,9.326306084818684,65080
2024-06-07,0,8.14487627645812,72662
2024-06-07,1,6.753990527977548,68412
2024-06-07,2,5.726812219659559,70673
2024-06-07,3,6.117757510729613,70832
2024-06-07,4,7.405302819642957,71924
2024-06-07,5,10.937624515046661,76296
2024-06-07,6,12.051909772970866,82104
2024-06-07,7,11.790787471324414,88054
2024-06-07,8,12.88467076266995,90983
2024-06-07,9,14.26962950190745,92794
2024-06-07,10,15.113531484666694,95348
2024-06-07,11,15.24037359017658,95934
2024-06-07,12,15.419537596334097,96020
2024-06-07,13,15.33308650355332,97233
2024-06-07,14,15.610644455424579,99169
2024-06-07,15,14.961484109564328,99777
2024-06-07,16,14.298060459201555,99869
2024-06-07,17,13.533630583436638,100028
2024-06-07,18,13.55325506937033,98385
2024-06-07,19,13.864114651290038,95036
2024-06-07,20,13.991952352643283,90834
2024-06-07,21,13.863609480915336,87924
2024-06-07,22,12.342391693519513,83790
2024-06-07,23,10.594421067440878,78187
